เกรดเฉลี่ยสะสม,รายได้ต่อเดือนของนักศึกษา (บาท),รายจ่ายต่อเดือนของนักศึกษา (บาท),รายได้ต่อเดือนของครอบครัว (บาท),ระยะทางจากที่พักมาห้องเรียน (กิโลเมตร),การใช้อินเตอร์อินเน็ตกี่ชั่วโมงใน 1 วัน ,เพศ_ชาย,เพศ_หญิง,ชั้นปี_ชั้นปีที่ 2,ชั้นปี_ชั้นปีที่ 3,ชั้นปี_ชั้นปีที่ 4,สาขา_คณิตศาสตร์,สาขา_จุลชีววิทยา,สาขา_ชีววิทยา,สาขา_ฟิสิกส์,สาขา_วัสดุศาสตร์,สาขา_วิทยาการคอมพิวเตอร์,สาขา_วิทยาศาสตร์พอลิเมอร์,สาขา_สถิติ,สาขา_เคมี,สาขา_เคมี - ชีววิทยาประยุกต์,สาขา_เทคโนโลยีชีวภาพ,สาขา_เทคโนโลยีสารสนเทศและการสื่อสาร,หอพัก_หอนอก,หอพัก_หอใน,ยานพาหนะที่ใช้มาเรียน _รถรับจ้าง,ยานพาหนะที่ใช้มาเรียน _รถส่วนตัว,ยานพาหนะที่ใช้มาเรียน _รถเมล์มอ,ยานพาหนะที่ใช้มาเรียน _เดิน
3.05,3500,3000,7500,1.0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2.89,5000,5000,7000,1.0,10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2.15,4000,3000,6000,4.0,12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2.57,5000,5000,6000,1.0,24,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.04,300,2000,6000,1.0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2.63,4000,3500,12000,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
3.31,0,4000,6000,0.7,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2.21,3500,3500,5500,1.0,18,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1.35,4500,3000,10000,2.5,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2.72,4000,4000,1000,1.0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
